ID	Taxon	Gloss	GlossID	IPA	Tokens	CogID	NewCogID	
54	Kyōto	who	6	dare	d a r e	18	950	
55	Hachijō	who	6	dare	d a r e	18	950	
56	Shuri	who	6	taː	t aː	18	432	
57	Kōchi	who	6	dare	d a r e	18	950	
58	Sado	who	6	dare	d a r e	18	950	
59	Oki	who	6	dare	d a r e	18	950	
60	Kagoshima	who	6	daiː	d aiː	18	426	
61	Miyako	what	7	nau	n au	21	713	
62	Tōkyō	what	7	nani	n a n i	20	971	
63	Amami	what	7	nuː	n uː	21	82	
64	Kyōto	what	7	nani	n a n i	20	971	
65	Hachijō	what	7	ani	a n i	19	3	
66	Shuri	what	7	nuː	n uː	21	382	
67	Kōchi	what	7	nani	n a n i	20	971	
68	Sado	what	7	nani	n a n i	20	971	
69	Oki	what	7	nani	n a n i	20	971	
70	Kagoshima	what	7	naiː	n aiː	20	26	
71	Miyako	not	8	araŋ	a r a ŋ	23	1040	
72	Tōkyō	not	8	nai	n ai	22	961	
73	Amami	not	8	ʔaraɴ	ʔ a r a ɴ	23	1040	
74	Kyōto	not	8	nai	n ai	22	961	
75	Hachijō	not	8	nakːja	n a kː j a	22	679	
76	Shuri	not	8	neːɴ	n eː ɴ	22	55	
77	Kōchi	not	8	nai	n ai	22	961	
78	Sado	not	8	nai	n ai	22	961	
79	Oki	not	8	neː	n eː	22	928	
80	Kagoshima	not	8	naka	n a k a	22	679	
81	Miyako	all	9	mːna	mː n a	24	159	
82	Tōkyō	all	9	miɴna	m i ɴ n a	24	613	
83	Amami	all	9	ʔaɴxaːri	ʔ a ɴ x aː r i	26	131	
84	Kyōto	all	9	miɴna	m i ɴ n a	24	613	
85	Hachijō	all	9	miɴna	m i ɴ n a	24	613	
86	Shuri	all	9	ɴna	ɴ n a	24	1014	
87	Kōchi	all	9	miɴna	m i ɴ n a	24	613	
88	Sado	all	9	miɴna	m i ɴ n a	24	613	
89	Oki	all	9	ɴːna	ɴː n a	24	1014	
90	Kagoshima	all	9	sukːai	s u kː ai	25	634	
91	Miyako	many	10	ukaːʃa	u k aː ʃ a	34	81	
92	Tōkyō	many	10	takusaɴ	t a k u s a ɴ	31	763	
93	Amami	many	10	ɕogoɕaɴ	ɕ o g o ɕ a ɴ	34	747	
94	Kyōto	many	10	joːke	j oː k e	32	668	
95	Hachijō	many	10	sikːari	s i kː a r i	30	753	
96	Shuri	many	10	ʔuhoːku	ʔ u h oː k u	29	445	
97	Kōchi	many	10	joke	j o k e	32	668	
98	Sado	many	10	ikai	i k ai	33	502	
99	Oki	many	10	etːo	e tː o	27	127	
100	Kagoshima	many	10	dosːai	d o sː ai	28	932	
101	Miyako	one	11	pɨtiːsɨ	p ɨ t iː s ɨ	35	692	
102	Tōkyō	one	11	hitoʦu	h i t o ʦ u	35	591	
103	Amami	one	11	tɨːʦɨ	t ɨː ʦ ɨ	35	954	
104	Kyōto	one	11	hitoʦu	h i t o ʦ u	35	591	
105	Hachijō	one	11	teːʦu	t eː ʦ u	35	247	
106	Shuri	one	11	tiːɕi	t iː ɕ i	35	40	
107	Kōchi	one	11	hitotu	h i t o t u	35	591	
108	Sado	one	11	hitoʦu	h i t o ʦ u	35	591	
109	Oki	one	11	ɸutoʦu	ɸ u t o ʦ u	35	591	
110	Kagoshima	one	11	hitoi	h i t oi	35	659	
111	Miyako	two	12	futaːʦɨ	f u t aː ʦ ɨ	36	1036	
112	Tōkyō	two	12	hutaʦːu	h u t a ʦː u	36	1036	
113	Amami	two	12	taːʦɨ	t aː ʦ ɨ	36	1036	
114	Kyōto	two	12	hutaʦu	h u t a ʦ u	36	1036	
115	Hachijō	two	12	hutaʦu	h u t a ʦ u	36	1036	
116	Shuri	two	12	taːɕi	t aː ɕ i	36	934	
117	Kōchi	two	12	hutaːtu	h u t aː t u	36	1036	
118	Sado	two	12	hutaʦu	h u t a ʦ u	36	1036	
119	Oki	two	12	ɸutaːʦu	ɸ u t aː ʦ u	36	1036	
120	Kagoshima	two	12	hutai	h u t ai	36	575	
121	Miyako	big	13	uku	u k u	38	126	
122	Tōkyō	big	13	oːkiː	oː k iː	38	511	
123	Amami	big	13	hwɨsːari	h w ɨ sː a r i	40	538	
124	Kyōto	big	13	oːkiː	oː k iː	38	511	
125	Hachijō	big	13	boːkʲa	b oː kʲ a	37	963	
126	Shuri	big	13	magisaɴ	m a g i s a ɴ	41	173	
127	Kōchi	big	13	hutoi	h u t oi	39	964	
128	Sado	big	13	oːkiː	oː k iː	38	511	
129	Oki	big	13	ɸuteː	ɸ u t eː	39	340	
130	Kagoshima	big	13	hute	h u t e	39	964	
131	Miyako	small	14	imi	i m i	47	461	
132	Tōkyō	small	14	ʨiʨːai	ʨ i ʨː ai	43	353	
133	Amami	small	14	ʔʲenasari	ʔʲ e n a s a r i	46	337	
134	Kyōto	small	14	ʨiːsai	ʨ iː s ai	43	353	
135	Hachijō	small	14	nekːokʲa	n e kː o kʲ a	42	355	
136	Shuri	small	14	gumasaɴ	g u m a s a ɴ	45	306	
137	Kōchi	small	14	hosoi	h o s oi	44	862	
138	Sado	small	14	ʨiːsai	ʨ iː s ai	43	353	
139	Oki	small	14	komeː	k o m eː	45	198	
140	Kagoshima	small	14	ʨiɴke	ʨ i ɴ k e	43	52	
141	Miyako	long	15	naga	n a g a	48	818	
142	Tōkyō	long	15	naŋai	n a ŋ ai	48	818	
143	Amami	long	15	nagasari	n a g a s a r i	48	796	
144	Kyōto	long	15	naŋai	n a ŋ ai	48	818	
145	Hachijō	long	15	nagakʲa	n a g a kʲ a	48	796	
146	Shuri	long	15	nagasaɴ	n a g a s a ɴ	48	796	
147	Kōchi	long	15	nagai	n a g ai	48	818	
148	Sado	long	15	nagai	n a g ai	48	818	
149	Oki	long	15	naŋeː	n a ŋ eː	48	9	
150	Kagoshima	long	15	nage	n a g e	48	818	
151	Miyako	woman	16	midum	m i d u m	51	89	
152	Tōkyō	woman	16	oɴna	o ɴ n a	49	886	
153	Amami	woman	16	onagu	o n a g u	49	858	
154	Kyōto	woman	16	onaŋo	o n a ŋ o	49	858	
155	Hachijō	woman	16	oɴnago	o ɴ n a g o	49	858	
156	Shuri	woman	16	winagu	w i n a g u	49	168	
157	Kōchi	woman	16	onago	o n a g o	49	858	
158	Sado	woman	16	oɴna	o ɴ n a	49	886	
159	Oki	woman	16	nʲoːba	nʲ oː b a	50	704	
160	Kagoshima	woman	16	onago	o n a g o	49	858	
161	Miyako	man	17	bɨkidum	b ɨ k i d u m	54	146	
162	Tōkyō	man	17	otoko	o t o k o	53	755	
163	Amami	man	17	jeɴga	j e ɴ g a	55	463	
164	Kyōto	man	17	otoko	o t o k o	53	755	
165	Hachijō	man	17	onokogo	o n o k o g o	52	820	
166	Shuri	man	17	wikiga	w i k i g a	54	230	
167	Kōchi	man	17	otoko	o t o k o	53	755	
168	Sado	man	17	otoko	o t o k o	53	755	
169	Oki	man	17	otoko	o t o k o	53	755	
170	Kagoshima	man	17	otoko	o t o k o	53	755	
171	Miyako	person	18	pɨtu	p ɨ t u	56	182	
172	Tōkyō	person	18	hito	h i t o	56	988	
173	Amami	person	18	ʨu	ʨ u	56	71	
174	Kyōto	person	18	hito	h i t o	56	988	
175	Hachijō	person	18	hito	h i t o	56	988	
176	Shuri	person	18	ʦːu	ʦː u	56	292	
177	Kōchi	person	18	hito	h i t o	56	988	
178	Sado	person	18	niɴgeɴ	n i ɴ g e ɴ	57	13	
179	Oki	person	18	ɸuto	ɸ u t o	56	621	
180	Kagoshima	person	18	hiːto	h iː t o	56	988	
181	Miyako	fish	19	izo	i z o	59	440	
182	Tōkyō	fish	19	sakana	s a k a n a	58	1031	
183	Amami	fish	19	ʔʲu	ʔʲ u	59	1001	
184	Kyōto	fish	19	sakana	s a k a n a	58	1031	
185	Hachijō	fish	19	sakana	s a k a n a	58	1031	
186	Shuri	fish	19	ʔiju	ʔ i j u	59	646	
187	Kōchi	fish	19	uo	uo	59	596	
188	Sado	fish	19	uo	uo	59	67	
189	Oki	fish	19	eo	eo	59	149	
190	Kagoshima	fish	19	iːo	iːo	59	564	
191	Miyako	bird	20	tui	t ui	60	528	
192	Tōkyō	bird	20	tori	t o r i	60	682	
193	Amami	bird	20	θuri	θ u r i	60	253	
194	Kyōto	bird	20	tori	t o r i	60	682	
195	Hachijō	bird	20	torime	t o r i m e	60	922	
196	Shuri	bird	20	tui	t ui	60	528	
197	Kōchi	bird	20	tori	t o r i	60	682	
198	Sado	bird	20	tori	t o r i	60	682	
199	Oki	bird	20	tori	t o r i	60	682	
200	Kagoshima	bird	20	toiː	t oiː	60	600	
201	Miyako	dog	21	in	i n	62	130	
202	Tōkyō	dog	21	inu	i n u	62	1009	
203	Amami	dog	21	ʔiɴ	ʔ i ɴ	62	850	
204	Kyōto	dog	21	inu	i n u	62	1009	
205	Hachijō	dog	21	ʨiɴme	ʨ i ɴ m e	61	516	
206	Shuri	dog	21	ʔiɴ	ʔ i ɴ	62	850	
207	Kōchi	dog	21	inu	i n u	62	1009	
208	Sado	dog	21	inu	i n u	62	1009	
209	Oki	dog	21	eno	e n o	62	139	
210	Kagoshima	dog	21	iɴ	i ɴ	62	90	
211	Miyako	louse	22	sːam	sː a m	63	944	
212	Tōkyō	louse	22	sirami	s i r a m i	63	718	
213	Amami	louse	22	siraɴ	s i r a ɴ	63	595	
214	Kyōto	louse	22	sirami	s i r a m i	63	718	
215	Hachijō	louse	22	ɕaɴme	ɕ a ɴ m e	63	422	
216	Shuri	louse	22	siraɴ	s i r a ɴ	63	595	
217	Kōchi	louse	22	sirami	s i r a m i	63	718	
218	Sado	louse	22	sirami	s i r a m i	63	718	
219	Oki	louse	22	sirame	s i r a m e	63	718	
220	Kagoshima	louse	22	sitame	s i t a m e	63	718	
221	Miyako	tree	23	kiː	k iː	64	993	
222	Tōkyō	tree	23	ki	k i	64	902	
223	Amami	tree	23	xɨ	x ɨ	64	689	
224	Kyōto	tree	23	kiː	k iː	64	993	
225	Hachijō	tree	23	ki	k i	64	33	
226	Shuri	tree	23	kiː	k iː	64	993	
227	Kōchi	tree	23	ki	k i	64	593	
228	Sado	tree	23	ki	k i	64	257	
229	Oki	tree	23	ki	k i	64	465	
230	Kagoshima	tree	23	ki	k i	64	930	
231	Miyako	bark (of tree)	24	kaː	k aː	65	576	
232	Tōkyō	bark (of tree)	24	kawa	k a w a	65	851	
233	Amami	bark (of tree)	24	xɨɴxo	x ɨ ɴ x o	66	529	
234	Kyōto	bark (of tree)	24	kawa	k a w a	65	851	
235	Hachijō	bark (of tree)	24	kua	k ua	65	64	
236	Shuri	bark (of tree)	24	kaː	k aː	65	576	
237	Kōchi	bark (of tree)	24	kawa	k a w a	65	851	
238	Sado	bark (of tree)	24	kawa	k a w a	65	851	
239	Oki	bark (of tree)	24	kawa	k a w a	65	851	
240	Kagoshima	bark (of tree)	24	kawa	k a w a	65	851	
241	Miyako	leaf	25	paː	p aː	67	580	
242	Tōkyō	leaf	25	hapːa	h a pː a	67	1004	
243	Amami	leaf	25	hwa	h w a	67	675	
244	Kyōto	leaf	25	haː	h aː	67	80	
245	Hachijō	leaf	25	ha	h a	67	829	
246	Shuri	leaf	25	hwaː	h w aː	67	675	
247	Kōchi	leaf	25	ha	h a	67	888	
248	Sado	leaf	25	ha	h a	67	488	
249	Oki	leaf	25	ɸa	ɸ a	67	144	
250	Kagoshima	leaf	25	hai	h ai	67	884	
251	Miyako	root	26	niː	n iː	68	1039	
252	Tōkyō	root	26	nekːo	n e kː o	68	332	
253	Amami	root	26	nɨguri	n ɨ g u r i	68	204	
254	Kyōto	root	26	neː	n eː	68	823	
255	Hachijō	root	26	ne	n e	68	47	
256	Shuri	root	26	niː	n iː	68	1039	
257	Kōchi	root	26	ne	n e	68	601	
258	Sado	root	26	ne	n e	68	336	
259	Oki	root	26	ne	n e	68	30	
260	Kagoshima	root	26	ne	n e	68	137	
261	Miyako	seed	27	tani	t a n i	70	1012	
262	Tōkyō	seed	27	tane	t a n e	70	1012	
263	Amami	seed	27	θanɨ	θ a n ɨ	70	1012	
264	Kyōto	seed	27	tane	t a n e	70	1012	
265	Hachijō	seed	27	tane	t a n e	70	1012	
266	Shuri	seed	27	sani	s a n i	69	1012	
267	Kōchi	seed	27	tane	t a n e	70	1012	
268	Sado	seed	27	tane	t a n e	70	1012	
269	Oki	seed	27	tane	t a n e	70	1012	
270	Kagoshima	seed	27	tane	t a n e	70	1012	
271	Miyako	blood	28	akaʦɨ	a k a ʦ ɨ	71	236	
272	Tōkyō	blood	28	ʨi	ʨ i	71	929	
273	Amami	blood	28	ʨi	ʨ i	71	929	
274	Kyōto	blood	28	ʨiː	ʨ iː	71	929	
275	Hachijō	blood	28	ʨi	ʨ i	71	929	
276	Shuri	blood	28	ʨiː	ʨ iː	71	929	
277	Kōchi	blood	28	ti	t i	71	70	
278	Sado	blood	28	ʨi	ʨ i	71	929	
279	Oki	blood	28	ʨi	ʨ i	71	929	
280	Kagoshima	blood	28	ʨiː	ʨ iː	71	929	
281	Miyako	meat	29	sɨːsɨ	s ɨː s ɨ	73	449	
282	Tōkyō	meat	29	niku	n i k u	72	794	
283	Amami	meat	29	sisi	s i s i	73	449	
284	Kyōto	meat	29	niku	n i k u	72	794	
285	Hachijō	meat	29	niku	n i k u	72	794	
286	Shuri	meat	29	sisi	s i s i	73	449	
287	Kōchi	meat	29	niku	n i k u	72	794	
288	Sado	meat	29	niku	n i k u	72	794	
289	Oki	meat	29	niku	n i k u	72	794	
290	Kagoshima	meat	29	ni	n i	72	160	
291	Miyako	skin	30	kaː	k aː	75	740	
292	Tōkyō	skin	30	kawa	k a w a	75	570	
293	Amami	skin	30	duɴxo	d u ɴ x o	74	2	
294	Kyōto	skin	30	kawa	k a w a	75	570	
295	Hachijō	skin	30	kuabe	k ua b e	75	347	
296	Shuri	skin	30	kaː	k aː	75	740	
297	Kōchi	skin	30	kawa	k a w a	75	570	
298	Sado	skin	30	kawa	k a w a	75	570	
299	Oki	skin	30	kawa	k a w a	75	570	
300	Kagoshima	skin	30	kawa	k a w a	75	570	
301	Miyako	bone	31	puni	p u n i	76	707	
302	Tōkyō	bone	31	hone	h o n e	76	738	
303	Amami	bone	31	hunɨ	h u n ɨ	76	707	
304	Kyōto	bone	31	hone	h o n e	76	738	
305	Hachijō	bone	31	hone	h o n e	76	738	
306	Shuri	bone	31	huni	h u n i	76	707	
307	Kōchi	bone	31	hone	h o n e	76	738	
308	Sado	bone	31	hone	h o n e	76	738	
309	Oki	bone	31	ɸone	ɸ o n e	76	314	
310	Kagoshima	bone	31	hone	h o n e	76	738	
311	Miyako	grease (fat)	32	avːa	a vː a	78	125	
312	Tōkyō	grease (fat)	32	aburami	a b u r a m i	78	1041	
313	Amami	grease (fat)	32	sirumi	s i r u m i	79	328	
314	Kyōto	grease (fat)	32	abura	a b u r a	78	1041	
315	Hachijō	grease (fat)	32	aburaniku	a b u r a n i k u	78	1041	
316	Shuri	grease (fat)	32	ʔaɴdaʥisi	ʔ a ɴ d a ʥ i s i	77	623	
317	Kōchi	grease (fat)	32	abura	a b u r a	78	1041	
318	Sado	grease (fat)	32	aburaniku	a b u r a n i k u	78	1041	
319	Oki	grease (fat)	32	abura	a b u r a	78	1041	
320	Kagoshima	grease (fat)	32	aburami	a b u r a m i	78	1041	
321	Miyako	egg	33	tunuka	t u n u k a	82	495	
322	Tōkyō	egg	33	tamaŋo	t a m a ŋ o	80	810	
323	Amami	egg	33	xoga	x o g a	81	138	
324	Kyōto	egg	33	tamaŋo	t a m a ŋ o	80	810	
325	Hachijō	egg	33	tamago	t a m a g o	80	810	
326	Shuri	egg	33	kuːga	k uː g a	81	23	
327	Kōchi	egg	33	tamago	t a m a g o	80	810	
328	Sado	egg	33	tamago	t a m a g o	80	810	
329	Oki	egg	33	tamaŋo	t a m a ŋ o	80	810	
330	Kagoshima	egg	33	tamago	t a m a g o	80	810	
331	Miyako	horn	34	ʦɨnu	ʦ ɨ n u	83	957	
332	Tōkyō	horn	34	ʦuno	ʦ u n o	83	957	
333	Amami	horn	34	ʦɨno	ʦ ɨ n o	83	957	
334	Kyōto	horn	34	ʦuno	ʦ u n o	83	957	
335	Hachijō	horn	34	ʦuno	ʦ u n o	83	957	
336	Shuri	horn	34	ɕinu	ɕ i n u	83	947	
337	Kōchi	horn	34	tuno	t u n o	83	957	
338	Sado	horn	34	ʦuno	ʦ u n o	83	957	
339	Oki	horn	34	ʦuno	ʦ u n o	83	957	
340	Kagoshima	horn	34	ʦuno	ʦ u n o	83	957	
341	Miyako	tail	35	ʣuː	ʣ uː	85	728	
342	Tōkyō	tail	35	sipːo	s i pː o	86	789	
343	Amami	tail	35	zubu	z u b u	85	940	
344	Kyōto	tail	35	oː	oː	84	153	
345	Hachijō	tail	35	oba	o b a	84	321	
346	Shuri	tail	35	zuː	z uː	85	152	
347	Kōchi	tail	35	o	o	84	469	
348	Sado	tail	35	o	o	84	420	
349	Oki	tail	35	o	o	84	726	
350	Kagoshima	tail	35	siːbo	s iː b o	86	28	
351	Miyako	feather	36	pani	p a n i	87	775	
352	Tōkyō	feather	36	hane	h a n e	87	943	
353	Amami	feather	36	haɴge	h a ɴ g e	87	280	
354	Kyōto	feather	36	hane	h a n e	87	943	
355	Hachijō	feather	36	hane	h a n e	87	943	
356	Shuri	feather	36	hanigiː	h a n i g iː	87	617	
357	Kōchi	feather	36	hane	h a n e	87	943	
358	Sado	feather	36	hane	h a n e	87	943	
359	Oki	feather	36	hane	h a n e	87	943	
360	Kagoshima	feather	36	haine	h ai n e	87	943	
361	Miyako	hair	37	p͡sɨgi	p͡s ɨ g i	88	505	
362	Tōkyō	hair	37	ke	k e	89	17	
363	Amami	hair	37	higi	h i g i	88	294	
364	Kyōto	hair	37	keː	k eː	89	407	
365	Hachijō	hair	37	kiː	k iː	89	1018	
366	Shuri	hair	37	kiː	k iː	89	938	
367	Kōchi	hair	37	ke	k e	89	648	
368	Sado	hair	37	ke	k e	89	719	
369	Oki	hair	37	ke	k e	89	618	
370	Kagoshima	hair	37	kei	k ei	89	273	
371	Hachijō	hair	37	kebuɕo	k e b u ɕ o	89	56	
372	Miyako	head	38	kanamaɭ	k a n a m a ɭ	94	141	
373	Tōkyō	head	38	atama	a t a m a	91	468	
374	Amami	head	38	xamaʨi	x a m a ʨ i	93	362	
375	Kyōto	head	38	atama	a t a m a	91	468	
376	Hachijō	head	38	ʦuburi	ʦ u b u r i	90	403	
377	Shuri	head	38	ɕiburu	ɕ i b u r u	90	61	
378	Kōchi	head	38	atama	a t a m a	91	468	
379	Sado	head	38	atama	a t a m a	91	468	
380	Oki	head	38	atama	a t a m a	91	468	
381	Kagoshima	head	38	biɴta	b i ɴ t a	92	889	
382	Miyako	ear	39	mim	m i m	95	169	
383	Tōkyō	ear	39	mimi	m i m i	95	912	
384	Amami	ear	39	miɴ	m i ɴ	95	327	
385	Kyōto	ear	39	mimi	m i m i	95	912	
386	Hachijō	ear	39	mimi	m i m i	95	912	
387	Shuri	ear	39	mimi	m i m i	95	912	
388	Kōchi	ear	39	mimi	m i m i	95	912	
389	Sado	ear	39	mimi	m i m i	95	912	
390	Oki	ear	39	mimi	m i m i	95	912	
391	Kagoshima	ear	39	miɴ	m i ɴ	95	327	
392	Miyako	eye	40	miː	m iː	96	342	
393	Tōkyō	eye	40	me	m e	96	780	
394	Amami	eye	40	mɨː	m ɨː	96	200	
395	Kyōto	eye	40	meː	m eː	96	142	
396	Hachijō	eye	40	manako	m a n a k o	97	466	
397	Shuri	eye	40	miː	m iː	96	342	
398	Kōchi	eye	40	me	m e	96	155	
399	Sado	eye	40	me	m e	96	244	
400	Oki	eye	40	me	m e	96	317	
401	Kagoshima	eye	40	me	m e	96	140	
402	Miyako	nose	41	pana	p a n a	98	662	
403	Tōkyō	nose	41	hana	h a n a	98	662	
404	Amami	nose	41	hana	h a n a	98	662	
405	Kyōto	nose	41	hana	h a n a	98	662	
406	Hachijō	nose	41	hana	h a n a	98	662	
407	Shuri	nose	41	hana	h a n a	98	662	
408	Kōchi	nose	41	hana	h a n a	98	662	
409	Sado	nose	41	hana	h a n a	98	662	
410	Oki	nose	41	hana	h a n a	98	662	
411	Kagoshima	nose	41	haina	h ai n a	98	662	
412	Miyako	mouth	42	fuʦɨ	f u ʦ ɨ	99	710	
413	Tōkyō	mouth	42	kuʨi	k u ʨ i	99	1026	
414	Amami	mouth	42	kuʨi	k u ʨ i	99	1026	
415	Kyōto	mouth	42	kuʨi	k u ʨ i	99	1026	
416	Hachijō	mouth	42	kuʨi	k u ʨ i	99	1026	
417	Shuri	mouth	42	kuʨi	k u ʨ i	99	1026	
418	Kōchi	mouth	42	kuti	k u t i	99	1026	
419	Sado	mouth	42	kuʨi	k u ʨ i	99	1026	
420	Oki	mouth	42	kuʨi	k u ʨ i	99	1026	
421	Kagoshima	mouth	42	kui	k ui	99	239	
422	Miyako	tooth	43	paː	p aː	101	1011	
423	Tōkyō	tooth	43	ha	h a	101	102	
424	Amami	tooth	43	hwa	h w a	101	258	
425	Kyōto	tooth	43	haː	h aː	101	430	
426	Hachijō	tooth	43	nukaba	n u k a b a	100	232	
427	Shuri	tooth	43	haː	h aː	101	855	
428	Kōchi	tooth	43	ha	h a	101	471	
429	Sado	tooth	43	ha	h a	101	431	
430	Oki	tooth	43	ɸa	ɸ a	101	987	
431	Kagoshima	tooth	43	ha	h a	101	409	
432	Miyako	tongue	44	sɨta	s ɨ t a	-102	872	
433	Tōkyō	tongue	44	sita	s i t a	-102	872	
434	Amami	tongue	44	sɨba	s ɨ b a	-102	872	
435	Kyōto	tongue	44	sita	s i t a	-102	872	
436	Hachijō	tongue	44	sita	s i t a	-102	872	
437	Shuri	tongue	44	ʃiba	ʃ i b a	-102	772	
438	Kōchi	tongue	44	sita	s i t a	-102	872	
439	Sado	tongue	44	sitabera	s i t a b e r a	-102	166	
440	Oki	tongue	44	bero	b e r o	-102	24	
441	Kagoshima	tongue	44	sita	s i t a	-102	872	
442	Miyako	claw	45	ʦɨmi	ʦ ɨ m i	103	882	
443	Tōkyō	claw	45	ʦume	ʦ u m e	103	882	
444	Amami	claw	45	ʦɨmɨ	ʦ ɨ m ɨ	103	882	
445	Kyōto	claw	45	ʦume	ʦ u m e	103	882	
446	Hachijō	claw	45	ʦume	ʦ u m e	103	882	
447	Shuri	claw	45	ɕimi	ɕ i m i	103	551	
448	Kōchi	claw	45	tume	t u m e	103	882	
449	Sado	claw	45	ʦume	ʦ u m e	103	882	
450	Oki	claw	45	ʦume	ʦ u m e	103	882	
451	Kagoshima	claw	45	ʦuime	ʦ ui m e	103	882	
452	Miyako	foot	46	pɨsa	p ɨ s a	106	39	
453	Tōkyō	foot	46	asi	a s i	104	778	
454	Amami	foot	46	hagi	h a g i	105	860	
455	Kyōto	foot	46	asi	a s i	104	778	
456	Hachijō	foot	46	asi	a s i	104	778	
457	Shuri	foot	46	hwiɕa	h w i ɕ a	106	779	
458	Kōchi	foot	46	asi	a s i	104	778	
459	Sado	foot	46	asi	a s i	104	778	
460	Oki	foot	46	asi	a s i	104	778	
461	Kagoshima	foot	46	aɕ	a ɕ	104	116	
462	Miyako	knee	47	ʦɨgusɨ	ʦ ɨ g u s ɨ	109	678	
463	Tōkyō	knee	47	hiza	h i z a	107	989	
464	Amami	knee	47	ʦɨbusi	ʦ ɨ b u s i	109	678	
465	Kyōto	knee	47	hiza	h i z a	107	989	
466	Hachijō	knee	47	hiʥakabura	h i ʥ a k a b u r a	107	587	
467	Shuri	knee	47	ʨiɴsi	ʨ i ɴ s i	109	450	
468	Kōchi	knee	47	sune	s u n e	108	935	
469	Sado	knee	47	hiza	h i z a	107	989	
470	Oki	knee	47	ɸuza	ɸ u z a	-107	645	
471	Kagoshima	knee	47	hiːza	h iː z a	-107	989	
472	Miyako	hand	48	tiː	t iː	110	359	
473	Tōkyō	hand	48	te	t e	110	205	
474	Amami	hand	48	θɨ	θ ɨ	110	705	
475	Kyōto	hand	48	teː	t eː	110	344	
476	Hachijō	hand	48	te	t e	110	737	
477	Shuri	hand	48	tiː	t iː	110	359	
478	Kōchi	hand	48	te	t e	110	180	
479	Sado	hand	48	te	t e	110	401	
480	Oki	hand	48	te	t e	110	548	
481	Kagoshima	hand	48	te	t e	110	147	
482	Miyako	belly	49	bata	b a t a	113	821	
483	Tōkyō	belly	49	onaka	o n a k a	112	513	
484	Amami	belly	49	waθa	w a θ a	113	821	
485	Kyōto	belly	49	hara	h a r a	111	906	
486	Hachijō	belly	49	hara	h a r a	111	906	
487	Shuri	belly	49	wata	w a t a	113	821	
488	Kōchi	belly	49	hara	h a r a	111	906	
489	Sado	belly	49	hara	h a r a	111	906	
490	Oki	belly	49	ɸara	ɸ a r a	111	676	
491	Kagoshima	belly	49	hara	h a r a	111	906	
492	Miyako	neck	50	nudufuʣɨ	n u d u f u ʣ ɨ	115	452	
